"ClaimId","ClaimNumber","ClaimDispositionSequence","BusinessUnit","ClaimType","ProductIdentification1","ProductIdentification2","MaterialSource","Heat","ProductType","SteelFamily","SteelType","SteelGradeASTMAISI","Finish","MaterialGaugeOrDiameter","MaterialWidthOrLegLength","MaterialLength","CustomerNumber","FormatMinGaugeOrDiameter","FormatMinWidthOrLegLength","FormatMaxWidthOrLegLength","FormatMinWeight","FormatMaxWeight","OriginalShippedWeight","OriginalShipQuality","ClaimDispositionStatus","TotalWeightClaimed","CustomerClaimDefect","CustomerClaimDefectDesc","CustomerClaimDefectWeight","NASIdentifiedDefect","NASIdentifiedDefectDesc","NASIdentifiedDefectWeight","AreaofResponsibilityDefect","AreaofResponsibilityDefectDesc","AreaofResponsibilityDefectWeigh","CustomerDefectOrigin","CustomerDefectGroup","CustomerDefectGroupDesc","TotalReturnInventoryWeight","TotalScrapAtCustomerWeight","TotalSell3rdPartyWeight","TotalCustomerCreditWeight","LastInspectionLine","LastInspectionMachine"
536,68812,1,"F","T","05X52X ","A     ","F","X52X  ","B","B",150,"304L          ",1,"0.1875","48","0","8ea4309a84e315fffe6e862bb483b223","0.1775","0.2075","48.25","17000","25000","12280","5B","Q","965","FC51","SLIPS/DIGS HR WITH SCALE (NO LADDER/1 OR 2 FACES) ","965",8,"Operation Defect                                  ",965,"F011","Hot Mill                                          ","965","LC ","D90","Slips/ Digs - HM         ","0","965","0","0",4310,"     "
537,68815,1,"L","T","BN30506","      ","L","X23N  ","B","B",143,"304/304L      ",10,"4.25","0","144","695ce5fb47e87b8db70a95da3d29f780","4.28","4.312","2","2700","3300","3483","1","C","3483","LB01","Laps                                              ","3482",1,"Defect Not Seen                                   ",3483,"L011","Hot Rolling Mill                                  ","3483","LPH","L61","Laps                     ","0","3483","0","0",0,"INSB1"
538,68816,1,"L","T","BN30507","      ","L","X23N  ","B","B",143,"304/304L      ",10,"4.25","0","144","695ce5fb47e87b8db70a95da3d29f780","4.28","4.312","2","2700","3300","3482","1","C","1406","LB01","Laps                                              ","1406",1,"Defect Not Seen                                   ",1406,"L011","Hot Rolling Mill                                  ","1406","LPH","L61","Laps                     ","0","1406","0","0",0,"INSB1"
539,68816,2,"L","T","BN30507","      ","L","X23N  ","B","B",143,"304/304L      ",10,"4.25","0","144","695ce5fb47e87b8db70a95da3d29f780","4.28","4.312","2","2700","3300","3482","1","C","2076","LB01","Laps                                              ","2076",1,"Defect Not Seen                                   ",2076,"L011","Hot Rolling Mill                                  ","2076","LPH","L61","Laps                     ","0","2076","0","0",0,"INSB1"
540,68818,1,"F","T","02X18T ","BA    ","F","X18T  ","B","F",501,"430",70,"0.016","28.2402","0","2a455bc1b68b34a7a697413db76d5643","0.0142","0.0172","28.2502","11900","30000","22884","1D","C","1618","FF51","ROLLED DIGS FROM THE Z-MILL                       ","1618",8,"Operation Defect                                  ",1618,"F062","Line 3660                                         ","1618","CM ","D85","Slip/ Digs               ","0","1618","0","0",0,"     "
541,68824,1,"F","T","04X28Y ","A     ","F","X28Y  ","B","B",120,"304",22,"0.124","49.1","0","ba2ef7e1c9e87343fe1a06e3bda0d917","0.115","0.125","50","20000","50000","19020","1A","X","0","FF33","OTT THICKNESS (SHEET AND COIL)                    ","19020",8,"Operation Defect                                  ",19020,"F024","Line 3620                                         ","19020","CM ","C20","OOT Gauge-CR             ","0","0","0","0",4310,"     "
542,68825,1,"F","T","04X28Y ","B     ","F","X28Y  ","B","B",120,"304",22,"0.124","48","0","ba2ef7e1c9e87343fe1a06e3bda0d917","0.12","0.128","48.0625","20000","50000","35060","1A","X","35060","FF33","OTT THICKNESS (SHEET AND COIL)                    ","35060",8,"Operation Defect                                  ",35060,"F024","Line 3620                                         ","35060","CM ","C20","OOT Gauge-CR             ","0","35060","0","0",4310,"     "
543,68827,1,"F","T","01X37C ","B     ","F","X37C  ","B","C",270,"316L          ",22,"0.182","60","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","60.125","15000","34000","14920","1A","C","1101","FH50","WORK ROLL STOP FROM Z.M.                          ","1101",1,"Defect Not Seen                                   ",1101,"F024","Line 3620                                         ","1101","CM ","D10","Roll Mark                ","0","1101","0","0",4310,"     "
544,68828,1,"F","T","03X31C ","C     ","F","X31C  ","B","C",270,"316L          ",22,"0.1016","60","0","ad179b72434468ffac702ff96360b0aa","0.1","0.11","60.125","12000","40000","13880","1A","C","1295","FH50","WORK ROLL STOP FROM Z.M.                          ","1295",1,"Defect Not Seen                                   ",1295,"F024","Line 3620                                         ","1295","CM ","D10","Roll Mark                ","0","1295","0","0",4310,"     "
545,68834,1,"F","T","03W86P ","A     ","F","W86P  ","B","F",500,"430",22,"0.046","60","0","d392d182558bc14ffa4b36208250a0bf","0.045","0.051","60.125","10000","20000","21200","1A","C","1855","FF44","OIL STAINS                                        ","1855",2,"Wrong Standard                                    ",1855,"F022","Line 3310                                         ","1855","CM ","F14","Stains - ZM              ","0","1855","0","0",4340,"     "
546,68837,1,"F","T","04X55C ","C     ","F","X55C  ","B","C",270,"316L          ",22,"0.1305","60","0","3666591740069bed237968c8802716f3","0.129","0.141","60.125","20000","45000","21700","1A","C","2298","F947","Pits from Cold Rolling                            ","2298",8,"Operation Defect                                  ",2298,"F022","Line 3310                                         ","2298","CM ","C65","Pits                     ","0","2298","0","0",4310,"     "
547,68840,1,"F","T","02X47L ","C     ","F","X47L  ","B","N",808,"409-20        ",1,"0.186","60","0","66db05946912d56ad461e4edc509574f","0.1755","0.1885","60.125","13000","25000","16490","1A","C","0","99940","Customer Accommodation                            ","0",99940,"Customer Accommodation                            ",0,"99940","Customer Accommodation                            ","0","COM","D40","Sales Accommodation      ","0","0","0","0",4310,"     "
548,68841,1,"F","T","02W70X ","B     ","F","W70X  ","B","B",150,"304L          ",22,"0.0575","60","0","b1620db2c3d5f936edd61cc21fd08a68","0.057","0.063","60.125","12500","20000","25550","1A","C","804","FP45","MANDREL MARKS                                     ","804",8,"Operation Defect                                  ",804,"F049","Line 4340                                         ","804","CM ","C05","Mandrel Marks            ","0","804","0","0",4340,"     "
549,68842,1,"F","T","03X54A ","A     ","F","X54A  ","B","B",120,"304",22,"0.069","61.1","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","30500","1A","C","0","FH06","DENTS FROM COLD ANNEALING & PICKLING LINE         ","0",1,"Defect Not Seen                                   ",0,"F022","Line 3310                                         ","0","CM ","B20","Dents                    ","0","0","0","0",4350,"     "
550,68842,2,"F","T","03X54A ","A     ","F","X54A  ","B","B",120,"304",22,"0.069","61.1","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","30500","1A","C","1543","FC23","LAMINATIONS TYPE C (CENTER)                       ","1543",1,"Defect Not Seen                                   ",1543,"F039","Melt Shop                                         ","1543","AC ","B85","Laminations              ","0","1543","0","0",4350,"     "
551,68844,1,"F","T","02X26A ","AB    ","F","X26A  ","B","E",601,"201",43,"0.0345","26.444","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","26.4715","10000","19999","15420","1A","C","755","FH04","STAINS FROM GP                                    ","755",1,"Defect Not Seen                                   ",755,"F046","Line 3520                                         ","755","CM ","F11","Stains - GP              ","755","0","0","0",4320,"     "
552,68844,2,"F","T","02X26A ","AB    ","F","X26A  ","B","E",601,"201",43,"0.0345","26.444","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","26.4715","10000","19999","15420","1A","C","13607","FJ49","WORK ROLL MARK FROM SKP DEBRIS SKP #2 (108)      ","13607",8,"Operation Defect                                  ",13607,"F036","Line 4120                                         ","13607","CM ","D80","SKP Roll Mark -SKP2      ","0","612","12995","0",4320,"     "
553,68848,1,"F","T","01W80F ","B     ","F","W80F  ","B","B",120,"304",22,"0.1032","48","0","ad179b72434468ffac702ff96360b0aa","0.1","0.11","48.0625","15000","20000","17600","1A","C","2635","FJ44","ALCALI STAINS                                     ","2635",2,"Wrong Standard                                    ",2635,"F022","Line 3310                                         ","2635","CM ","F13","Stains - AP              ","0","2635","0","0",4310,"     "
554,68853,1,"F","T","03W98H ","ABAA  ","F","W98H  ","B","B",150,"304L          ",22,"0.182","42","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","42.0625","10000","20000","10350","1A","C","1656","F947","Pits from Cold Rolling                            ","1656",1,"Defect Not Seen                                   ",1656,"F021","Line 3320                                         ","1656","CM ","C65","Pits                     ","0","1656","0","0",4310,"     "
555,68854,1,"F","T","06X22B ","BB    ","F","X22B  ","B","B",120,"304",22,"0.182","48","0","1e23433712700b36a806a645707e8827","0.18","0.194","48.0625","10000","20000","7410","1A","C","7410","FL57","LINE SCRATCHES FROM HOT ANNEALING AND PICKLING    ","7410",8,"Operation Defect                                  ",7410,"F021","Line 3320                                         ","7410","CM ","D55","Scratches                ","0","117","7293","0",4210,"     "
556,68860,1,"F","T","02W78F ","BBB   ","F","W78F  ","B","E",611,"201",22,"0.18","60","0","ad179b72434468ffac702ff96360b0aa","0.177","0.183","60.125","10000","36000","11190","1A","C","2503","FJ02","SCRATCHES FROM COLD ANNEALING AND PICKLING        ","2503",1,"Defect Not Seen                                   ",2503,"F021","Line 3320                                         ","2503","CM ","D55","Scratches                ","0","2503","0","0",4310,"     "
557,68861,1,"F","T","01X07Y ","D     ","F","X07Y  ","B","B",150,"304L          ",22,"0.1015","60","0","5301bfa3fe54bb793c685437da49ac42","0.1","0.11","60.125","10000","20000","20450","5A","C","1270","FJ57","LINE SCRATCHES FROM FINISH LINES                  ","1270",52,"System Missed / Inspection Missed                 ",1270,"F026","Line 4310                                         ","1270","CM ","D55","Scratches                ","0","1270","0","0",4310,"     "
558,68862,1,"F","T","02W94B ","CB    ","F","W94B  ","B","E",611,"201",22,"0.18","60","0","ad179b72434468ffac702ff96360b0aa","0.177","0.183","60.125","10000","36000","13400","1A","C","483","FJ57","LINE SCRATCHES FROM FINISH LINES                  ","483",17,"Bottom Side Defect                                ",483,"F026","Line 4310                                         ","483","CM ","D55","Scratches                ","0","483","0","0",4310,"     "
559,68863,1,"F","T","02X43T ","B     ","F","X43T  ","B","E",611,"201",22,"0.043","60","0","ad179b72434468ffac702ff96360b0aa","0.04","0.046","60.125","12000","20000","16100","1A","C","1135","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","1135",8,"Operation Defect                                  ",1135,"F023","Line 3610                                         ","1133","CM ","B30","Edge Waves               ","0","1135","0","0",4340,"     "
560,68864,1,"F","T","04X54A ","A     ","F","X54A  ","B","B",120,"304",22,"0.069","61.1","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","33530","1A","C","19737","FC18","SEAMS (must be less than 1.5 long)               ","19737",1,"Defect Not Seen                                   ",19737,"F022","Line 3310                                         ","19737","AC ","B85","Laminations              ","19737","0","0","0",4330,"     "
561,68864,2,"F","T","04X54A ","A     ","F","X54A  ","B","B",120,"304",22,"0.069","61.1","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","33530","1A","C","1488","FF35","DENTS                                             ","1488",1,"Defect Not Seen                                   ",1488,"F047","Line 4330                                         ","1488","CM ","B20","Dents                    ","0","1488","0","0",4330,"     "
562,68865,1,"F","T","02X43T ","D     ","F","X43T  ","B","E",611,"201",22,"0.043","60","0","ad179b72434468ffac702ff96360b0aa","0.04","0.046","60.125","12000","20000","13220","1A","C","1267","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","1267",8,"Operation Defect                                  ",1267,"F023","Line 3610                                         ","1267","CM ","B30","Edge Waves               ","0","1267","0","0",4340,"     "
563,68865,2,"F","T","02X43T ","D     ","F","X43T  ","B","E",611,"201",22,"0.043","60","0","ad179b72434468ffac702ff96360b0aa","0.04","0.046","60.125","12000","20000","13220","1A","C","3221","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","3221",1,"Defect Not Seen                                   ",3221,"F023","Line 3610                                         ","3221","CM ","B30","Edge Waves               ","3221","0","0","0",4340,"     "
564,68866,1,"F","T","01W88R ","BD    ","F","W88R  ","B","A",101,"301",32,"0.075","60","0","ad179b72434468ffac702ff96360b0aa","0.073","0.077","60.125","8000","20000","9900","1A","C","9900","FH01","SCRATCHES FROM GP                                 ","9900",1,"Defect Not Seen                                   ",9900,"F046","Line 3520                                         ","9900","CM ","D55","Scratches                ","0","2215","7685","0",4350,"     "
565,68867,1,"F","T","01X15M ","A     ","F","X15M  ","B","B",150,"304L          ",22,"0.16","60","0","ad179b72434468ffac702ff96360b0aa","0.158","0.172","60.125","12000","40000","13050","1A","C","830","FH50","WORK ROLL STOP FROM Z.M.                          ","830",8,"Operation Defect                                  ",830,"F024","Line 3620                                         ","830","CM ","D10","Roll Mark                ","0","830","0","0",4310,"     "
566,68871,1,"F","T","01X34D ","A     ","F","X34D  ","B","N",801,"409-20        ",12,"0.056","49.9","0","b8e9acebf18ada68b0776739b29c12c0","0.055","0.058","50","21600","44000","24010","1D","C","2186","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","2186",2,"Wrong Standard                                    ",2186,"F023","Line 3610                                         ","2186","CM ","B30","Edge Waves               ","0","2186","0","0",4220,"     "
567,68872,1,"F","T","01X34D ","BA    ","F","X34D  ","B","N",801,"409-20        ",12,"0.056","49.955","0","b8e9acebf18ada68b0776739b29c12c0","0.055","0.058","50","21600","44000","18135","1D","C","1625","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","1625",2,"Wrong Standard                                    ",1625,"F023","Line 3610                                         ","1625","CM ","B30","Edge Waves               ","0","1625","0","0",4330,"     "
568,68873,1,"F","T","03X16K ","B     ","F","X16K  ","B","E",601,"201",43,"0.0345","60","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","60.125","10000","19999","16910","1A","C","3438","FI48","EMULSION STAINS FROM SKP#2                        ","3438",1,"Defect Not Seen                                   ",3438,"F036","Line 4120                                         ","3438","CM ","F12","Stains - SKP             ","3438","0","0","0",4320,"     "
569,68874,1,"F","T","01X30T ","A     ","F","X30T  ","B","C",270,"316L          ",22,"0.182","60","0","679e19234b295ee432a3920c30fda6ac","0.18","0.194","60.25","15000","29000","22620","5A","C","3148","FF51","ROLLED DIGS FROM THE Z-MILL                       ","3148",8,"Operation Defect                                  ",3148,"F024","Line 3620                                         ","3148","CM ","D85","Slip/ Digs               ","0","3148","0","0",4310,"     "
570,68876,1,"F","T","03X36F ","C     ","F","X36F  ","B","B",150,"304L          ",22,"0.182","60","0","5301bfa3fe54bb793c685437da49ac42","0.18","0.194","60.125","10000","25000","24280","5A","C","2885","FK57","MULTIPLE LINE SCRATCHES FROM S.K.P.               ","2885",2,"Wrong Standard                                    ",2885,"F036","Line 4120                                         ","2885","CM ","D80","SKP Roll Mark -SKP2      ","0","2885","0","0",4310,"     "
571,68877,1,"F","T","03W91Y ","B     ","F","W91Y  ","B","C",270,"316L          ",22,"0.069","49","0","3666591740069bed237968c8802716f3","0.067","0.071","50","30000","44000","25560","1A","C","2185","FC23","LAMINATIONS TYPE C (CENTER)                       ","2185",8,"Operation Defect                                  ",2185,"F039","Melt Shop                                         ","2185","AC ","B85","Laminations              ","0","2185","0","0",4340,"     "
572,68878,1,"F","T","04W88B ","B     ","F","W88B  ","B","F",501,"430",36,"0.028","48","0","679e19234b295ee432a3920c30fda6ac","0.0273","0.0313","48.0625","10000","20000","20870","1A","Q","1300","FL02","LINE SCRATCHES FROM Z-MILL                        ","1300",8,"Operation Defect                                  ",1300,"F044","Line 3640                                         ","1300","CM ","D55","Scratches                ","0","1300","0","0",4220,"     "
573,68882,1,"F","T","05X26Y ","A     ","F","X26Y  ","B","B",120,"304",22,"0.0345","48.7","0","3666591740069bed237968c8802716f3","0.034","0.038","50","10000","44000","10090","1A","C","1031","FC23","LAMINATIONS TYPE C (CENTER)                       ","1031",8,"Operation Defect                                  ",1031,"F039","Melt Shop                                         ","1031","AC ","B85","Laminations              ","0","1031","0","0",4350,"     "
574,68884,1,"F","T","03X10C ","A     ","F","X10C  ","B","B",120,"304",22,"0.187","48","0","3666591740069bed237968c8802716f3","0.18","0.194","48.0625","22000","45000","11440","1A","C","1259","FF51","ROLLED DIGS FROM THE Z-MILL                       ","1259",8,"Operation Defect                                  ",1259,"F026","Line 4310                                         ","1259","CM ","D85","Slip/ Digs               ","0","1259","0","0",4310,"     "
575,68885,1,"F","T","02X32R ","C     ","F","X32R  ","B","A",101,"301",71,"0.028","48","0","ad179b72434468ffac702ff96360b0aa","0.028","0.032","48.0625","10000","20000","15840","1A","X","0","FC18","SEAMS (must be less than 1.5 long)               ","0",2,"Wrong Standard                                    ",0,"F039","Melt Shop                                         ","0","AC ","B85","Laminations              ","0","0","0","0",4320,"     "
576,68888,1,"L","T","BN19453","      ","L","W78H  ","B","C",264,"316/316L      ",20,"1.125","0","144","57306ccb0281d3c908c9fd3a6db60a83","1.1225","1.1275","2","1000","3000","2990","1","C","2860","LB01","Laps                                              ","2860",1,"Defect Not Seen                                   ",2860,"L011","Hot Rolling Mill                                  ","2860","LPH","L61","Laps                     ","0","2860","0","0",0,"INSB2"
577,68890,1,"F","T","03X39D ","BA    ","F","X39D  ","B","B",127,"304",71,"0.018","31","0","679e19234b295ee432a3920c30fda6ac","0.017","0.019","31.031","10000","19999","17900","1A","C","800","FS55","Dents from Slitter #2                             ","800",1,"Defect Not Seen                                   ",800,"F027","Line 4320                                         ","800","CM ","B20","Dents                    ","800","0","0","0",4320,"     "
578,68890,2,"F","T","03X39D ","BA    ","F","X39D  ","B","B",127,"304",71,"0.018","31","0","679e19234b295ee432a3920c30fda6ac","0.017","0.019","31.031","10000","19999","17900","1A","C","867","FK02","Scratches from BAL                                ","867",52,"System Missed / Inspection Missed                 ",867,"F063","Line 3410                                         ","867","BAL","D55","Scratches                ","867","0","0","0",4320,"     "
579,68892,1,"F","T","04W86N ","C     ","F","W86N  ","B","F",500,"430",32,"0.0345","60","0","3666591740069bed237968c8802716f3","0.034","0.038","60.125","28000","31000","21950","1D","C","1088","FH05","DENTS FROM GP                                     ","1088",8,"Operation Defect                                  ",1088,"F046","Line 3520                                         ","1088","CM ","B20","Dents                    ","0","1088","0","0",4350,"     "
580,68893,1,"F","T","03X45K ","C     ","F","X45K  ","B","B",150,"304L          ",22,"0.182","48","0","ad179b72434468ffac702ff96360b0aa","0.18","0.194","48.0625","12000","36000","15460","1A","C","682","FH50","WORK ROLL STOP FROM Z.M.                          ","682",8,"Operation Defect                                  ",682,"F024","Line 3620                                         ","682","CM ","D10","Roll Mark                ","0","682","0","0",4310,"     "
581,68894,1,"F","T","04X26H ","C     ","F","X26H  ","B","E",611,"201",22,"0.043","60","0","ad179b72434468ffac702ff96360b0aa","0.04","0.046","60.125","12000","20000","16150","1A","C","171","FF47","EDGE WAVES FROM CR (MUST NOTE HEIGHT AND PITCH)   ","171",1,"Defect Not Seen                                   ",171,"F023","Line 3610                                         ","171","CM ","B30","Edge Waves               ","0","171","0","0",4340,"     "
582,68896,1,"F","T","04W08F ","B     ","F","W08F  ","B","A",101,"301",22,"0.06","48","0","3666591740069bed237968c8802716f3","0.057","0.063","48.0625","38000","44000","21920","1A","C","0","F005","Planning Error                                    ","0",5,"Planning Error                                    ",0,"F005","Planning Error                                    ","0","PLA","C67","Planning Error           ","0","0","0","0",4220,"     "
583,68903,1,"F","T","04X10D ","A     ","F","X10D  ","B","B",120,"304",32,"0.0575","48","0","7279e8697839520844b82317c8fae6a9","0.057","0.063","48.125","17500","30000","10165","1A","C","0","FC28","LATERAL SEAMS TYPE 1 (EDGES)                      ","0",2,"Wrong Standard                                    ",0,"F011","Hot Mill                                          ","0","LC ","B90","Lateral Edge Seams       ","0","0","0","0",4330,"     "
584,68908,1,"F","T","02X32E ","B     ","F","X32E  ","B","B",120,"304",32,"0.0575","60","0","f9f682e62da5249cd50565a6306ad4c2","0.0565","0.0625","60.125","9000","22999","12160","1A","C","1590","FH07","DENTS FROM SL                                     ","1590",1,"Defect Not Seen                                   ",1590,"F037","Line 4220                                         ","1590","CM ","B20","Dents                    ","0","1590","0","0",4220,"     "
585,68910,1,"F","C","03X49Y ","A     ","F","X49Y  ","B","A",105,"301",22,"0.048","48","0","1627be2f62a54e46f4ed42a39d2bb077","0.045","0.051","48.0625","15000","28000","19430","1A","C","0","F944","Incorrect Order Information                       ","0",6,"Sales Error                                       ",0,"F006","Sales Error                                       ","0","COM","D41","Order Entry Error-Sales  ","0","0","0","0",4350,"     "
586,68911,1,"F","C","03X49Y ","B     ","F","X49Y  ","B","A",105,"301",22,"0.048","48","0","1627be2f62a54e46f4ed42a39d2bb077","0.045","0.051","48.0625","15000","28000","19430","1A","C","0","F944","Incorrect Order Information                       ","0",6,"Sales Error                                       ",0,"F006","Sales Error                                       ","0","COM","D41","Order Entry Error-Sales  ","0","0","0","0",4350,"     "
587,68915,1,"F","T","05X39D ","CA    ","F","X39D  ","B","B",127,"304",71,"0.018","31","0","679e19234b295ee432a3920c30fda6ac","0.017","0.019","31.031","10000","19999","11980","1A","C","900","FM48","ROLLED RUBBER FROM HOT AND/OR COLD AP             ","900",1,"Defect Not Seen                                   ",900,"F063","Line 3410                                         ","900","CM ","D25","Rolled Rubber            ","900","0","0","0",4320,"     "
588,68915,2,"F","T","05X39D ","CA    ","F","X39D  ","B","B",127,"304",71,"0.018","31","0","679e19234b295ee432a3920c30fda6ac","0.017","0.019","31.031","10000","19999","11980","1A","C","670","FM48","ROLLED RUBBER FROM HOT AND/OR COLD AP             ","670",51,"System Detected / Inspection Missed               ",670,"F043","Line 3340                                         ","670","CM ","D25","Rolled Rubber            ","670","0","0","0",4320,"     "
589,68918,1,"X","C","02X44W ","A     ","F","X44W  ","B","C",270,"316L          ",22,"0.048","0","0","bf51fdad7c96b4ad96563d5c727f99a4","0","0","0","0","0","21700","1","C","0","W003","Customer Accommodation                            ","0",40,"Warehouse Error                                   ",0,"W010","WH SALES                                          ","0","WH ","X01","Sales Accommodation      ","0","0","0","0",0,"     "
590,68918,2,"X","T","02X44W ","A     ","F","X44W  ","B","C",270,"316L          ",22,"0.048","0","0","bf51fdad7c96b4ad96563d5c727f99a4","0","0","0","0","0","21700","1","C","0","W003","Customer Accommodation                            ","0",40,"Warehouse Error                                   ",0,"W010","WH SALES                                          ","0","WH ","X01","Sales Accommodation      ","0","0","0","0",0,"     "
591,68924,1,"F","T","05X05N ","D     ","F","X05N  ","B","N",808,"409-20        ",1,"0.137","60","0","66db05946912d56ad461e4edc509574f","0.127","0.139","60.125","13000","25000","6130","1A","C","1400","FC30","TITANIUM STREAK                                   ","1400",2,"Wrong Standard                                    ",1400,"F039","Melt Shop                                         ","1400","AC ","F20","Titanium Inclusions      ","0","1400","0","0",4310,"     "
592,68926,1,"F","T","02X44J ","A     ","F","X44J  ","B","B",150,"304L          ",1,"0.247","48","0","cf8c4626470b29ef75c6f94ccdf21bb0","0.24","0.272","48.125","15000","25000","9640","1A","C","818","FP45","MANDREL MARKS                                     ","818",8,"Operation Defect                                  ",818,"F028","Line 4210                                         ","818","CM ","C05","Mandrel Marks            ","0","818","0","0",4210,"     "
593,68927,1,"L","T","BN20552","      ","L","W75K  ","B","B",143,"304/304L      ",10,"4.25","0","144","64370679cbd7d044b6c4fe60ae88364d","4.28","4.312","2","1600","2400","1750","1","C","1209","LB04","Cracks                                            ","1209",1,"Defect Not Seen                                   ",1209,"L011","Hot Rolling Mill                                  ","1209","LPH","L08","Cracks                   ","0","1209","0","0",0,"INSB1"
594,68928,1,"F","T","03W95F ","A     ","F","W95F  ","B","B",120,"304",22,"0.182","48","0","3666591740069bed237968c8802716f3","0.18","0.194","48.0625","20000","28000","10540","1A","C","1228","FF51","ROLLED DIGS FROM THE Z-MILL                       ","1228",8,"Operation Defect                                  ",1228,"F024","Line 3620                                         ","1228","CM ","D85","Slip/ Digs               ","0","1228","0","0",4310,"     "
595,68929,1,"F","T","01X11F ","D     ","F","X11F  ","B","H",20,"304",22,"0.0725","60","0","679e19234b295ee432a3920c30fda6ac","0.1","0.11","60.125","15000","25000","24310","1A","C","3215","FC23","LAMINATIONS TYPE C (CENTER)                       ","3215",1,"Defect Not Seen                                   ",3215,"F039","Melt Shop                                         ","3215","AC ","B85","Laminations              ","0","0","3215","0",4340,"     "
596,68932,1,"F","T","04X08H ","A     ","F","X08H  ","B","B",120,"304",22,"0.069","61.4","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","35590","1A","C","1255","FC21","LAMINATIONS TYPE B (EDGES)                        ","1255",8,"Operation Defect                                  ",1255,"F039","Melt Shop                                         ","1255","AC ","B85","Laminations              ","0","1255","0","0",4310,"     "
597,68933,1,"F","T","04X01B ","A     ","F","X01B  ","B","B",120,"304",22,"0.069","61.3","0","3666591740069bed237968c8802716f3","0.067","0.071","62","30000","44000","34950","1A","C","1837","FF20","PAPER PATTERN - RANDOM / WIDTH                    ","1837",8,"Operation Defect                                  ",1837,"F045","Line 3650                                         ","1837","CM ","C55","Paper Pattern            ","0","1837","0","0",4310,"     "
598,68934,1,"F","T","04V82W ","BB    ","F","V82W  ","B","E",601,"201",43,"0.0345","60","0","679e19234b295ee432a3920c30fda6ac","0.0335","0.0375","60.125","10000","19999","17780","1A","C","885","FH04","STAINS FROM GP                                    ","885",8,"Operation Defect                                  ",885,"F046","Line 3520                                         ","885","CM ","F11","Stains - GP              ","0","885","0","0",4320,"     "
599,68936,1,"F","T","03W99P ","A     ","F","W99P  ","B","B",120,"304",22,"0.113","60","0","679e19234b295ee432a3920c30fda6ac","0.109","0.117","60.125","10000","45000","35830","5A","C","2426","FF68","NO SKIN PASS (GIVE REASON)                        ","2426",8,"Operation Defect                                  ",2426,"F036","Line 4120                                         ","2426","CM ","F35","Without Skinpass         ","2426","0","0","0",4310,"     "
600,68937,1,"F","T","07W63K ","A     ","F","W63K  ","B","F",507,"430",70,"0.019","43","0","cf4f8f99faacf507d56c82c6b8ceecd4","0","0","0","0","0","18370","1V","C","0","F957","Incorrect Finish Shipped                          ","0",4,"Incorrect QC Standard                             ",0,"F005","Planning Error                                    ","0","VAR","B70","Order Match Error        ","0","0","0","0",4320,"     "
601,68938,1,"L","T","WF90909","      ","L","X69N  ","C","B",115,"304",4,"0.21654","0","0","0691469f7715a75ebdc031f1963dcc03","0.20854","0.22454","0","1500","3000","2618","1","C","2618","LB30","Multiple Cuts in Coil (flagged)                   ","2618",1,"Defect Not Seen                                   ",2618,"L011","Hot Rolling Mill                                  ","2618","LPF","L64","Multiple Cuts            ","2618","0","0","0",0,"INSC1"
602,68939,1,"F","T","02W87M ","C     ","F","W87M  ","B","F",501,"430",71,"0.046","48","0","ba2ef7e1c9e87343fe1a06e3bda0d917","0.045","0.051","48.0625","8000","11500","8980","1A","C","4060","FK59","BA SKP WEAR PATTERN - STREAKS                     ","4060",1,"Defect Not Seen                                   ",4060,"F063","Line 3410                                         ","4060","CM ","D82","SKP Roll Mark - BAL      ","4060","0","0","0",4220,"     "
603,68940,1,"X","T","04V45H ","AD    ","F","V45H  ","C","B",120,"304",42,"0.0457","0","86","b1adcc620d13b1b09774826e53c9a2a8","0","0","0","0","0","3602","1","C","141","W036","SCRATCH: WH PROCESS                               ","141",40,"Warehouse Error                                   ",141,"W008","WH OPERATIONS                                     ","141","WH ","X10","Scratches WH Process     ","141","0","0","0",4152,"     "
604,68941,1,"X","T","04T89B ","BC    ","F","T89B  ","C","B",120,"304",42,"0.0457","0","108","b1adcc620d13b1b09774826e53c9a2a8","0","0","0","0","0","4565","1","Q","118","W036","SCRATCH: WH PROCESS                               ","118",40,"Warehouse Error                                   ",118,"W008","WH OPERATIONS                                     ","118","WH ","X10","Scratches WH Process     ","118","0","0","0",4152,"     "
